cod articolo,differenza,data partenza,data fine
13007ZF 903C 14000,5.52331060656644,2021-03-06,2021-03-11 12:33:34.036407336
13007ZF 903C 14000,5.440871906256567,2021-08-06,2021-08-11 10:34:51.332700570
13007ZF 903C 14000,3.7045609144952985,2021-06-25,2021-06-28 16:54:34.063012393
13007ZF 903C 14000,5.28673822664651,2021-11-29,2021-12-04 06:52:54.182782257
13007ZF 903C 14000,4.762597599604338,2021-12-31,2022-01-04 18:18:08.432605811
13007ZF 903C 14000,3.8862289725222308,2021-01-13,2021-01-16 21:16:10.183225918
13007ZF 903C 14000,4.569515868808961,2021-11-10,2021-11-14 13:40:06.171065097
13007ZF 903C 14000,4.479732626844113,2021-09-22,2021-09-26 11:30:48.898959330
13007ZF 903C 14000,4.182142686413014,2021-03-19,2021-03-23 04:22:17.128106083
13007ZF 903C 14000,5.2711176048371655,2021-06-06,2021-06-11 06:30:24.561057934
13007ZF 903C 14000,4.717770665670099,2021-12-05,2021-12-09 17:13:35.385513896
13007ZF 903C 14000,3.8143196560250314,2021-12-31,2022-01-03 19:32:37.218280560
13007ZF 903C 14000,5.867806757321279,2021-05-13,2021-05-18 20:49:38.503832560
13007ZF 903C 14000,5.186749020018391,2021-11-30,2021-12-05 04:28:55.115329589
13007ZF 903C 14000,4.30951298068515,2021-04-07,2021-04-11 07:25:41.921531192
13007ZF 903C 14000,4.55748205138554,2021-11-18,2021-11-22 13:22:46.449239707
13007ZF 903C 14000,5.001273460571453,2021-08-18,2021-08-23 00:01:50.026993377
13007ZF 903C 14000,4.1366842705930855,2021-02-09,2021-02-13 03:16:49.520979243
13007ZF 903C 14000,4.210556138469571,2021-09-19,2021-09-23 05:03:12.050363773
13007ZF 903C 14000,4.426292676789385,2021-11-09,2021-11-13 10:13:51.687274604
13007ZF 903C 14000,4.272728668350745,2021-11-04,2021-11-08 06:32:43.756945500
13007ZF 903C 14000,3.8361873659692187,2021-09-02,2021-09-05 20:04:06.588419738
13007ZF 903C 14000,4.8324797566892865,2021-09-24,2021-09-28 19:58:46.250977955
13007ZF 903C 14000,3.9230107997741515,2021-01-25,2021-01-28 22:09:08.133100490
13007ZF 903C 14000,5.34107739605432,2021-01-31,2021-02-05 08:11:09.087019091
13007ZF 903C 14000,5.316781893254973,2021-05-28,2021-06-02 07:36:09.955577232
13007ZF 903C 14000,5.355503146252539,2021-06-22,2021-06-27 08:31:55.471836216
13007ZF 903C 14000,3.671150547254821,2021-11-11,2021-11-14 16:06:27.407282814
13007ZF 903C 14000,5.026665841022795,2021-09-17,2021-09-22 00:38:23.928664369
13007ZF 903C 14000,4.918217933930571,2021-03-28,2021-04-01 22:02:14.029491603
13007ZF 903C 14000,4.65196877451282,2021-08-04,2021-08-08 15:38:50.102117905
13007ZF 903C 14000,4.688765976050087,2021-09-07,2021-09-11 16:31:49.380330728
13007ZF 903C 14000,4.605372055076323,2021-10-29,2021-11-02 14:31:44.145558592
13007ZF 903C 14000,5.182340859124439,2021-09-02,2021-09-07 04:22:34.250228348
13007ZF 903C 14000,4.2043830850194865,2021-05-28,2021-06-01 04:54:18.698545684
13007ZF 903C 14000,4.7541551696148545,2021-12-03,2021-12-07 18:05:59.006654727
13007ZF 903C 14000,5.089560648589669,2021-06-17,2021-06-22 02:08:58.040038150
13007ZF 903C 14000,3.9558465701286614,2021-10-11,2021-10-14 22:56:25.143659119
13007ZF 903C 14000,4.036679925913281,2021-06-22,2021-06-26 00:52:49.145598909
13007ZF 903C 14000,4.396335786936741,2021-06-02,2021-06-06 09:30:43.411991330
13007ZF 903C 14000,3.9128125251378236,2021-07-21,2021-07-24 21:54:27.002171905
13007ZF 903C 14000,4.732852931605544,2021-09-21,2021-09-25 17:35:18.493290715
13007ZF 903C 14000,4.4894960794374414,2021-12-11,2021-12-15 11:44:52.461263391
13007ZF 903C 14000,4.36787292726796,2021-05-24,2021-05-28 08:49:44.220915955
13007ZF 903C 14000,4.879658803591506,2021-12-03,2021-12-07 21:06:42.520630305
13007ZF 903C 14000,5.060639289359406,2021-07-09,2021-07-14 01:27:19.234600652
13007ZF 903C 14000,3.960606146977945,2021-06-01,2021-06-04 23:03:16.371098890
13007ZF 903C 14000,4.349858966607183,2021-09-01,2021-09-05 08:23:47.814714862
13007ZF 903C 14000,5.671724316670768,2021-04-15,2021-04-20 16:07:16.980960357
13007ZF 903C 14000,3.811249140875403,2021-05-30,2021-06-02 19:28:11.925771634
13007ZF 903C 14000,4.161522207377827,2021-03-26,2021-03-30 03:52:35.518717441
13007ZF 903C 14000,3.9049153252726687,2021-05-30,2021-06-02 21:43:04.684103561
13007ZF 903C 14000,4.9579181401204515,2021-12-15,2021-12-19 22:59:24.127306411
13007ZF 903C 14000,4.846232164499575,2021-06-21,2021-06-25 20:18:34.459012765
13007ZF 903C 14000,4.867319498930308,2021-10-07,2021-10-11 20:48:56.404707577
13007ZF 903C 14000,4.972523034031339,2021-01-12,2021-01-16 23:20:25.990140304
13007ZF 903C 14000,4.915425409666147,2021-05-09,2021-05-13 21:58:12.755395151
13007ZF 903C 14000,4.667254948028153,2021-03-03,2021-03-07 16:00:50.827509636
13007ZF 903C 14000,5.225477593475081,2021-02-10,2021-02-15 05:24:41.264076248
13007ZF 903C 14000,5.0177986725391674,2021-03-11,2021-03-16 00:25:37.805307386
13007ZF 903C 14000,3.5185573614909735,2021-06-15,2021-06-18 12:26:43.356032822
13007ZF 903C 14000,4.751238890196059,2021-08-26,2021-08-30 18:01:47.040112943
13007ZF 903C 14000,3.878239088224291,2021-06-02,2021-06-05 21:04:39.857222579
13007ZF 903C 14000,4.612146249893948,2021-12-02,2021-12-06 14:41:29.435990832
13007ZF 903C 14000,3.9205205126106923,2021-12-28,2021-12-31 22:05:32.972289564
13007ZF 903C 14000,4.236249648947775,2021-10-14,2021-10-18 05:40:11.969669089
13007ZF 903C 14000,3.9559771677656412,2021-02-10,2021-02-13 22:56:36.427294947
13007ZF 903C 14000,4.329427814308403,2021-06-01,2021-06-05 07:54:22.563156245
13007ZF 903C 14000,4.627117130062702,2021-01-22,2021-01-26 15:03:02.920037417
13007ZF 903C 14000,3.6810013338233167,2021-04-30,2021-05-03 16:20:38.515242333
13007ZF 903C 14000,4.35152833795988,2021-09-21,2021-09-25 08:26:12.048399735
13007ZN/F-14500,5.976389681852478,2021-05-20,2021-05-25 23:26:00.068512056
13007ZN/F-14500,6.2884903205983305,2021-08-30,2021-09-05 06:55:25.563699693
13007ZN/F-14500,5.449544773112262,2021-12-13,2021-12-18 10:47:20.668396902
13007ZN/F-14500,4.267377849265931,2021-03-28,2021-04-01 06:25:01.446176573
13007ZN/F-14500,5.276922128149182,2021-03-05,2021-03-10 06:38:46.071872090
13007ZN/F-14500,5.301146982536046,2021-10-08,2021-10-13 07:13:39.099291110
13007ZN/F-14500,6.053102402534399,2021-06-14,2021-06-20 01:16:28.047578972
13007ZN/F-14500,3.802723018275652,2021-10-22,2021-10-25 19:15:55.268779020
13007ZN/F-14500,4.921390438068681,2021-02-09,2021-02-13 22:06:48.133849135
13007ZN/F-14500,4.376571376497351,2021-06-15,2021-06-19 09:02:15.766929375
13007ZN/F-14500,6.021063334593522,2021-06-10,2021-06-16 00:30:19.872108878
13007ZN/F-14500,6.352082222980842,2021-10-19,2021-10-25 08:26:59.904065541
13007ZN/F-14500,5.215909737233845,2021-07-01,2021-07-06 05:10:54.601297000
13007ZN/F-14500,5.252923605835135,2021-09-06,2021-09-11 06:04:12.599544152
13007ZN/F-14500,5.05972902068916,2021-06-18,2021-06-23 01:26:00.587387546
13007ZN/F-14500,5.040494870330014,2021-04-24,2021-04-29 00:58:18.756796512
13007ZN/F-14500,3.9064507994987197,2021-02-23,2021-02-26 21:45:17.349076687
13007ZN/F-14500,3.648012754035946,2021-11-06,2021-11-09 15:33:08.301948701
13007ZN/F-14500,6.260847265465843,2021-08-26,2021-09-01 06:15:37.203736245
13007ZN/F-14500,6.14789411288271,2021-01-01,2021-01-07 03:32:58.051353065
13007ZN/F-14500,4.614987600584451,2021-04-07,2021-04-11 14:45:34.928690500
13007ZN/F-14500,6.5226816253669995,2021-12-06,2021-12-12 12:32:39.692431708
13007ZN/F-14500,4.0774941327374545,2021-03-16,2021-03-20 01:51:35.493068520
13007ZN/F-14500,4.096578632234576,2021-06-02,2021-06-06 02:19:04.393825069
13007ZN/F-14500,5.5393630315811615,2021-08-13,2021-08-18 12:56:40.965928615
13007ZN/F-14500,4.468668748635204,2021-08-05,2021-08-09 11:14:52.979882081
13007ZN/F-14500,5.656588274077728,2021-11-25,2021-11-30 15:45:29.226880313
13007ZN/F-14500,4.975304564566569,2021-07-06,2021-07-10 23:24:26.314378554
13007ZN/F-14500,8.020138740608184,2021-12-12,2021-12-20 00:28:59.987188548
13007ZN/F-14500,4.2648061903970556,2021-10-27,2021-10-31 06:21:19.254850309
13007ZN/F-14500,5.600488042252753,2021-08-20,2021-08-25 14:24:42.166850641
13007ZN/F-14500,5.049511894438899,2021-05-31,2021-06-05 01:11:17.827679520
13007ZN/F-14500,5.246799424837487,2021-04-20,2021-04-25 05:55:23.470305960
13007ZN/F-14500,5.509268473652021,2021-03-31,2021-04-05 12:13:20.796123532
13007ZN/F-14500,6.194148537251514,2021-10-12,2021-10-18 04:39:34.433618529
13007ZN/F-14500,4.9738895314494975,2021-04-10,2021-04-14 23:22:24.055517236
13007ZN/F-14500,5.12360091254177,2021-06-25,2021-06-30 02:57:59.118843611
13007ZN/F-14500,5.0428184592974965,2021-07-29,2021-08-03 01:01:39.514883304
13007ZN/F-14500,4.970667267006776,2021-03-18,2021-03-22 23:17:45.651869387
13007ZN/F-14500,5.279899394044011,2021-05-02,2021-05-07 06:43:03.307645401
13007ZN/F-14500,4.941370708301511,2021-08-11,2021-08-15 22:35:34.429197249
13007ZN/F-14500,3.61252347056589,2021-06-16,2021-06-19 14:42:02.027856893
13007ZN/F-14500,5.365221563362535,2021-05-17,2021-05-22 08:45:55.143074520
13007ZN/F-14500,5.2511707918012505,2021-06-25,2021-06-30 06:01:41.156411632
13007ZN/F-14500,4.654997942956615,2021-11-07,2021-11-11 15:43:11.822271450
13007ZN/F-14500,5.5841691037929575,2021-10-22,2021-10-27 14:01:12.210567715
